borough,neighbourhood,room_type,price
Brooklyn,Kensington,Private,149
Manhattan,Midtown,Home,225
Manhattan,Harlem,Private,150
Brooklyn,Clinton Hill,Home,89
Manhattan,East Harlem,Home,80
Manhattan,Murray Hill,Home,200
Brooklyn,Bedford-Stuyvesant,Private,60
Manhattan,Hell's Kitchen,Private,79
Manhattan,Upper West Side,Private,79
Manhattan,Chinatown,Home,150
Manhattan,Upper West Side,Home,135
Manhattan,Hell's Kitchen,Private,85
Brooklyn,South Slope,Private,89
Manhattan,Upper West Side,Private,85
Manhattan,West Village,Home,120
Brooklyn,Williamsburg,Home,140
Brooklyn,Fort Greene,Home,215
Manhattan,Chelsea,Private,140
Brooklyn,Crown Heights,Home,99
Manhattan,East Harlem,Home,190
Brooklyn,Williamsburg,Home,299
Brooklyn,Park Slope,Private,130
Brooklyn,Park Slope,Private,80
Brooklyn,Park Slope,Private,110
Brooklyn,Bedford-Stuyvesant,Home,120
Brooklyn,Windsor Terrace,Private,60
Manhattan,Inwood,Private,80
Manhattan,Hell's Kitchen,Home,150
Manhattan,Inwood,Private,44
Manhattan,East Village,Home,180
Manhattan,Harlem,Private,50
Manhattan,Harlem,Private,52
Brooklyn,Greenpoint,Private,55
Manhattan,Harlem,Private,50
Brooklyn,Bedford-Stuyvesant,Private,70
Brooklyn,South Slope,Private,89
Brooklyn,Bedford-Stuyvesant,Private,35
Brooklyn,Bushwick,Home,85
Brooklyn,Flatbush,Private,150
Manhattan,Lower East Side,Shared room,40
Manhattan,East Village,Private,68
Brooklyn,South Slope,Home,120
Brooklyn,Fort Greene,Private,120
Manhattan,Upper West Side,Private,135
Manhattan,Harlem,Home,150
Brooklyn,Prospect-Lefferts Gardens,Home,150
Queens,Long Island City,Private,130
Brooklyn,Bedford-Stuyvesant,Home,110
Brooklyn,Bedford-Stuyvesant,Home,115
Brooklyn,Fort Greene,Private,80
Brooklyn,Bedford-Stuyvesant,Private,80
Manhattan,Upper West Side,Home,151
Brooklyn,Williamsburg,Home,228
Brooklyn,Greenpoint,Home,144
Manhattan,Kips Bay,Home,200
Brooklyn,Williamsburg,Home,150
Manhattan,Lower East Side,Private,110
Manhattan,Hell's Kitchen,Private,69
Brooklyn,Greenpoint,Private,49
Manhattan,SoHo,Home,180
Brooklyn,Williamsburg,Private,80
Manhattan,Chelsea,Home,375
Manhattan,Upper East Side,Home,250
